SKU Code,Store_Code,Projected_Probability
SKU_0014,STORE_15,0.233
SKU_0014,STORE_08,0.162
SKU_0014,STORE_09,0.233
SKU_0014,STORE_16,0.147
SKU_0014,STORE_10,0.174
SKU_0014,STORE_11,0.173
SKU_0014,STORE_12,0.156
SKU_0014,STORE_13,0.156
SKU_0014,STORE_14,0.197
SKU_0015,STORE_01,0.173
SKU_0015,STORE_02,0.11
SKU_0015,STORE_03,0.086
SKU_0015,STORE_04,0.072
SKU_0015,STORE_05,0.11
SKU_0015,STORE_06,0.145
SKU_0015,STORE_07,0.07
SKU_0015,STORE_15,0.119
SKU_0015,STORE_08,0.138
SKU_0015,STORE_09,0.162
SKU_0015,STORE_16,0.075
SKU_0015,STORE_10,0.088
SKU_0015,STORE_11,0.088
SKU_0015,STORE_12,0.081
SKU_0015,STORE_13,0.108
SKU_0015,STORE_14,0.1
SKU_0016,STORE_01,0.217
SKU_0016,STORE_02,0.158
SKU_0016,STORE_03,0.193
SKU_0016,STORE_04,0.149
SKU_0016,STORE_05,0.215
SKU_0016,STORE_06,0.3
SKU_0016,STORE_07,0.165
SKU_0016,STORE_08,0.189
SKU_0016,STORE_09,0.32
SKU_0016,STORE_16,0.171
SKU_0016,STORE_10,0.172
SKU_0016,STORE_11,0.176
SKU_0016,STORE_12,0.126
SKU_0016,STORE_13,0.234
SKU_0016,STORE_17,0.138
SKU_0016,STORE_14,0.215
SKU_0017,STORE_01,0.247
SKU_0017,STORE_02,0.181
SKU_0017,STORE_03,0.237
SKU_0017,STORE_04,0.184
SKU_0017,STORE_05,0.264
SKU_0017,STORE_06,0.251
SKU_0017,STORE_07,0.202
SKU_0017,STORE_08,0.216
SKU_0017,STORE_09,0.267
SKU_0017,STORE_16,0.21
SKU_0017,STORE_10,0.212
SKU_0017,STORE_11,0.216
SKU_0017,STORE_12,0.217
SKU_0017,STORE_13,0.195
SKU_0017,STORE_17,0.158
SKU_0017,STORE_14,0.264
SKU_0018,STORE_01,0.212
SKU_0018,STORE_02,0.155
SKU_0018,STORE_03,0.121
SKU_0018,STORE_04,0.094
SKU_0018,STORE_05,0.135
SKU_0018,STORE_06,0.174
SKU_0018,STORE_07,0.103
SKU_0018,STORE_08,0.185
SKU_0018,STORE_09,0.186
SKU_0018,STORE_16,0.107
SKU_0018,STORE_10,0.108
SKU_0018,STORE_11,0.11
SKU_0018,STORE_12,0.113
SKU_0018,STORE_13,0.136
SKU_0018,STORE_17,0.135
SKU_0018,STORE_14,0.134
SKU_0019,STORE_01,0.462
SKU_0019,STORE_02,0.29
SKU_0019,STORE_05,0.437
SKU_0019,STORE_06,0.491
SKU_0019,STORE_07,0.253
SKU_0019,STORE_15,0.488
SKU_0019,STORE_08,0.329
SKU_0019,STORE_09,0.581
SKU_0019,STORE_16,0.28
SKU_0019,STORE_10,0.316
SKU_0019,STORE_11,0.342
SKU_0019,STORE_12,0.27
SKU_0019,STORE_13,0.36
SKU_0019,STORE_14,0.413
SKU_0020,STORE_01,0.199
SKU_0020,STORE_02,0.122
SKU_0020,STORE_03,0.115
SKU_0020,STORE_04,0.15
SKU_0020,STORE_05,0.132
SKU_0020,STORE_06,0.191
SKU_0020,STORE_07,0.11
SKU_0020,STORE_15,0.084
SKU_0020,STORE_08,0.12
SKU_0020,STORE_09,0.203
SKU_0020,STORE_16,0.1
SKU_0020,STORE_10,0.111
SKU_0020,STORE_11,0.154
SKU_0020,STORE_12,0.116
SKU_0020,STORE_13,0.135
SKU_0020,STORE_17,0.116
SKU_0020,STORE_14,0.143
SKU_0021,STORE_01,0.143
SKU_0021,STORE_02,0.094
SKU_0021,STORE_03,0.078
SKU_0021,STORE_04,0.107
SKU_0021,STORE_05,0.101
SKU_0021,STORE_06,0.137
SKU_0021,STORE_07,0.084
SKU_0021,STORE_15,0.084
SKU_0021,STORE_08,0.082
SKU_0021,STORE_09,0.14
SKU_0021,STORE_16,0.068
SKU_0021,STORE_10,0.075
SKU_0021,STORE_11,0.048
SKU_0021,STORE_12,0.079
SKU_0021,STORE_13,0.093
SKU_0021,STORE_17,0.079
SKU_0021,STORE_14,0.11
SKU_0022,STORE_01,0.078
SKU_0022,STORE_02,0.099
SKU_0022,STORE_03,0.076
SKU_0022,STORE_04,0.059
SKU_0022,STORE_05,0.107
SKU_0022,STORE_06,0.075
SKU_0022,STORE_07,0.089
SKU_0022,STORE_15,0.252
SKU_0022,STORE_08,0.08
SKU_0022,STORE_09,0.155
SKU_0022,STORE_16,0.067
SKU_0022,STORE_10,0.073
SKU_0022,STORE_11,0.07
SKU_0022,STORE_12,0.077
SKU_0022,STORE_13,0.104
SKU_0022,STORE_17,0.077
SKU_0022,STORE_14,0.116
SKU_0023,STORE_01,0.043
SKU_0023,STORE_02,0.073
SKU_0023,STORE_03,0.035
SKU_0023,STORE_04,0.032
SKU_0023,STORE_05,0.079
SKU_0023,STORE_06,0.041
SKU_0023,STORE_07,0.066
SKU_0023,STORE_15,0.028
SKU_0023,STORE_08,0.037
SKU_0023,STORE_09,0.078
SKU_0023,STORE_16,0.031
SKU_0023,STORE_10,0.034
SKU_0023,STORE_11,0.024
SKU_0023,STORE_12,0.036
SKU_0023,STORE_13,0.052
SKU_0023,STORE_17,0.036
SKU_0023,STORE_14,0.085
SKU_0024,STORE_01,0.019
SKU_0024,STORE_02,0.011
SKU_0024,STORE_03,0.015
SKU_0024,STORE_04,0.015
SKU_0024,STORE_05,0.012
SKU_0024,STORE_06,0.019
SKU_0024,STORE_07,0.01
SKU_0024,STORE_15,0.017
SKU_0024,STORE_08,0.015
SKU_0024,STORE_09,0.048
SKU_0024,STORE_16,0.013
SKU_0024,STORE_10,0.014
SKU_0024,STORE_11,0.017
SKU_0024,STORE_12,0.015
SKU_0024,STORE_13,0.032
SKU_0024,STORE_17,0.015
SKU_0024,STORE_14,0.013
SKU_0025,STORE_01,0.058
SKU_0025,STORE_02,0.064
SKU_0025,STORE_03,0.063
SKU_0025,STORE_04,0.044
SKU_0025,STORE_05,0.068
SKU_0025,STORE_06,0.056
SKU_0025,STORE_07,0.057
SKU_0025,STORE_15,0.084
SKU_0025,STORE_08,0.066
SKU_0025,STORE_09,0.14
SKU_0025,STORE_16,0.056
SKU_0025,STORE_10,0.061
SKU_0025,STORE_11,0.059
SKU_0025,STORE_12,0.064
SKU_0025,STORE_13,0.093
SKU_0025,STORE_17,0.064
SKU_0025,STORE_14,0.074
SKU_0026,STORE_01,0.141
SKU_0026,STORE_02,0.134
SKU_0026,STORE_03,0.127
SKU_0026,STORE_04,0.106
SKU_0026,STORE_05,0.144
SKU_0026,STORE_06,0.135
SKU_0026,STORE_07,0.12
SKU_0026,STORE_15,0.056
SKU_0026,STORE_08,0.133
SKU_0026,STORE_09,0.219
SKU_0026,STORE_16,0.111
SKU_0026,STORE_10,0.123
SKU_0026,STORE_11,0.219
SKU_0026,STORE_12,0.129
SKU_0026,STORE_13,0.146
SKU_0026,STORE_17,0.128
SKU_0026,STORE_14,0.156
SKU_0027,STORE_01,0.134
SKU_0027,STORE_02,0.12
SKU_0027,STORE_03,0.101
SKU_0027,STORE_04,0.095
SKU_0027,STORE_05,0.122
SKU_0027,STORE_06,0.142
SKU_0027,STORE_07,0.118
SKU_0027,STORE_15,0.124
SKU_0027,STORE_08,0.11
SKU_0027,STORE_09,0.218
SKU_0027,STORE_16,0.09
SKU_0027,STORE_10,0.098
SKU_0027,STORE_11,0.137
SKU_0027,STORE_12,0.104
SKU_0027,STORE_13,0.148
SKU_0027,STORE_17,0.109
SKU_0027,STORE_14,0.14
SKU_0028,STORE_01,0.141
SKU_0028,STORE_02,0.126
SKU_0028,STORE_03,0.106
SKU_0028,STORE_04,0.1
SKU_0028,STORE_05,0.129
SKU_0028,STORE_06,0.102
SKU_0028,STORE_07,0.124
SKU_0028,STORE_15,0.131
SKU_0028,STORE_08,0.115
SKU_0028,STORE_09,0.23
SKU_0028,STORE_16,0.095
SKU_0028,STORE_10,0.103
SKU_0028,STORE_11,0.144
SKU_0028,STORE_12,0.115
SKU_0028,STORE_13,0.156
SKU_0028,STORE_17,0.122
SKU_0028,STORE_14,0.156
SKU_0029,STORE_01,0.133
SKU_0029,STORE_02,0.119
SKU_0029,STORE_03,0.1
SKU_0029,STORE_04,0.094
SKU_0029,STORE_05,0.122
SKU_0029,STORE_06,0.178
SKU_0029,STORE_07,0.117
SKU_0029,STORE_15,0.123
SKU_0029,STORE_08,0.109
SKU_0029,STORE_09,0.217
SKU_0029,STORE_16,0.09
SKU_0029,STORE_10,0.098
SKU_0029,STORE_11,0.136
SKU_0029,STORE_12,0.09
SKU_0029,STORE_13,0.147
SKU_0029,STORE_17,0.095
SKU_0029,STORE_14,0.122
SKU_0030,STORE_01,0.084
SKU_0030,STORE_02,0.076
SKU_0030,STORE_03,0.064
SKU_0030,STORE_04,0.06
SKU_0030,STORE_05,0.077
SKU_0030,STORE_06,0.108
SKU_0030,STORE_07,0.074
SKU_0030,STORE_15,0.078
SKU_0030,STORE_08,0.069
SKU_0030,STORE_09,0.137
SKU_0030,STORE_16,0.057
SKU_0030,STORE_10,0.062
SKU_0030,STORE_11,0.086
SKU_0030,STORE_12,0.046
SKU_0030,STORE_13,0.093
SKU_0030,STORE_17,0.048
SKU_0030,STORE_14,0.062
SKU_0031,STORE_01,0.039
SKU_0031,STORE_02,0.035
SKU_0031,STORE_03,0.029
SKU_0031,STORE_04,0.027
SKU_0031,STORE_05,0.035
SKU_0031,STORE_06,0.028
SKU_0031,STORE_07,0.034
SKU_0031,STORE_15,0.036
SKU_0031,STORE_08,0.032
SKU_0031,STORE_09,0.063
SKU_0031,STORE_16,0.026
SKU_0031,STORE_10,0.028
SKU_0031,STORE_11,0.039
SKU_0031,STORE_12,0.043
SKU_0031,STORE_13,0.043
SKU_0031,STORE_17,0.045
SKU_0031,STORE_14,0.058
SKU_0032,STORE_01,0.097
SKU_0032,STORE_02,0.087
SKU_0032,STORE_03,0.073
SKU_0032,STORE_04,0.069
SKU_0032,STORE_05,0.089
SKU_0032,STORE_06,0.098
SKU_0032,STORE_07,0.085
SKU_0032,STORE_15,0.09
SKU_0032,STORE_08,0.079
SKU_0032,STORE_09,0.158
SKU_0032,STORE_16,0.065
SKU_0032,STORE_10,0.071
SKU_0032,STORE_11,0.099
SKU_0032,STORE_12,0.092
SKU_0032,STORE_13,0.107
SKU_0032,STORE_17,0.097
SKU_0032,STORE_14,0.124
SKU_0033,STORE_01,0.075
SKU_0033,STORE_02,0.06
SKU_0033,STORE_03,0.05
SKU_0033,STORE_04,0.045
SKU_0033,STORE_05,0.07
SKU_0033,STORE_06,0.082
SKU_0033,STORE_07,0.046
SKU_0033,STORE_15,0.073
SKU_0033,STORE_08,0.055
SKU_0033,STORE_09,0.113
SKU_0033,STORE_16,0.042
SKU_0033,STORE_10,0.047
SKU_0033,STORE_11,0.063
SKU_0033,STORE_12,0.047
SKU_0033,STORE_13,0.079
SKU_0033,STORE_17,0.049
SKU_0033,STORE_14,0.078
SKU_0034,STORE_01,0.079
SKU_0034,STORE_02,0.063
SKU_0034,STORE_03,0.052
SKU_0034,STORE_04,0.047
SKU_0034,STORE_05,0.073
SKU_0034,STORE_06,0.059
SKU_0034,STORE_07,0.049
SKU_0034,STORE_15,0.077
SKU_0034,STORE_08,0.058
SKU_0034,STORE_09,0.119
SKU_0034,STORE_16,0.044
SKU_0034,STORE_10,0.05
SKU_0034,STORE_11,0.066
SKU_0034,STORE_12,0.052
SKU_0034,STORE_13,0.083
SKU_0034,STORE_17,0.055
SKU_0034,STORE_14,0.087
SKU_0035,STORE_01,0.075
SKU_0035,STORE_02,0.059
SKU_0035,STORE_03,0.049
SKU_0035,STORE_04,0.044
SKU_0035,STORE_05,0.069
SKU_0035,STORE_06,0.104
SKU_0035,STORE_07,0.046
SKU_0035,STORE_15,0.072
SKU_0035,STORE_08,0.055
SKU_0035,STORE_09,0.113
SKU_0035,STORE_16,0.041
SKU_0035,STORE_10,0.047
SKU_0035,STORE_11,0.062
SKU_0035,STORE_12,0.041
SKU_0035,STORE_13,0.078
SKU_0035,STORE_17,0.043
SKU_0035,STORE_14,0.068
SKU_0036,STORE_01,0.047
SKU_0036,STORE_02,0.038
SKU_0036,STORE_03,0.031
SKU_0036,STORE_04,0.028
SKU_0036,STORE_05,0.044
SKU_0036,STORE_06,0.063
SKU_0036,STORE_07,0.029
SKU_0036,STORE_15,0.046
SKU_0036,STORE_08,0.035
SKU_0036,STORE_09,0.071
SKU_0036,STORE_16,0.026
SKU_0036,STORE_10,0.03
SKU_0036,STORE_11,0.04
SKU_0036,STORE_12,0.021
SKU_0036,STORE_13,0.05
SKU_0036,STORE_17,0.022
SKU_0036,STORE_14,0.034
SKU_0037,STORE_01,0.022
SKU_0037,STORE_02,0.017
SKU_0037,STORE_03,0.014
SKU_0037,STORE_04,0.013
SKU_0037,STORE_05,0.02
SKU_0037,STORE_06,0.016
SKU_0037,STORE_07,0.013
SKU_0037,STORE_15,0.021
SKU_0037,STORE_08,0.016
SKU_0037,STORE_09,0.033
SKU_0037,STORE_16,0.012
SKU_0037,STORE_10,0.014
SKU_0037,STORE_11,0.018
SKU_0037,STORE_12,0.019
SKU_0037,STORE_13,0.023
SKU_0037,STORE_17,0.02
SKU_0037,STORE_14,0.032
SKU_0038,STORE_01,0.054
SKU_0038,STORE_02,0.043
SKU_0038,STORE_03,0.036
SKU_0038,STORE_04,0.032
SKU_0038,STORE_05,0.05
SKU_0038,STORE_06,0.057
SKU_0038,STORE_07,0.034
SKU_0038,STORE_15,0.053
SKU_0038,STORE_08,0.04
SKU_0038,STORE_09,0.082
SKU_0038,STORE_16,0.03
SKU_0038,STORE_10,0.034
SKU_0038,STORE_11,0.045
SKU_0038,STORE_12,0.042
SKU_0038,STORE_13,0.057
SKU_0038,STORE_17,0.044
SKU_0038,STORE_14,0.069
SKU_0039,STORE_01,0.108
SKU_0039,STORE_02,0.079
SKU_0039,STORE_03,0.075
SKU_0039,STORE_04,0.066
SKU_0039,STORE_05,0.103
SKU_0039,STORE_06,0.119
SKU_0039,STORE_07,0.073
SKU_0039,STORE_15,0.104
SKU_0039,STORE_08,0.084
SKU_0039,STORE_09,0.156
SKU_0039,STORE_16,0.068
SKU_0039,STORE_10,0.079
SKU_0039,STORE_11,0.09
SKU_0039,STORE_12,0.074
SKU_0039,STORE_13,0.108
SKU_0039,STORE_17,0.076
SKU_0039,STORE_14,0.111
SKU_0040,STORE_01,0.113
SKU_0040,STORE_02,0.084
SKU_0040,STORE_03,0.079
SKU_0040,STORE_04,0.069
SKU_0040,STORE_05,0.108
SKU_0040,STORE_06,0.085
SKU_0040,STORE_07,0.077
SKU_0040,STORE_15,0.11
SKU_0040,STORE_08,0.088
SKU_0040,STORE_09,0.164
SKU_0040,STORE_16,0.071
SKU_0040,STORE_10,0.083
SKU_0040,STORE_11,0.094
SKU_0040,STORE_12,0.083
SKU_0040,STORE_13,0.113
SKU_0040,STORE_17,0.085
SKU_0040,STORE_14,0.123
SKU_0041,STORE_01,0.107
SKU_0041,STORE_02,0.079
SKU_0041,STORE_03,0.075
SKU_0041,STORE_04,0.065
SKU_0041,STORE_05,0.102
SKU_0041,STORE_06,0.15
SKU_0041,STORE_07,0.072
SKU_0041,STORE_15,0.103
SKU_0041,STORE_08,0.083
SKU_0041,STORE_09,0.155
SKU_0041,STORE_16,0.067
SKU_0041,STORE_10,0.078
SKU_0041,STORE_11,0.089
SKU_0041,STORE_12,0.065
SKU_0041,STORE_13,0.107
SKU_0041,STORE_17,0.067
SKU_0041,STORE_14,0.097
SKU_0042,STORE_01,0.068
SKU_0042,STORE_02,0.05
SKU_0042,STORE_03,0.047
SKU_0042,STORE_04,0.041
SKU_0042,STORE_05,0.065
SKU_0042,STORE_06,0.09
SKU_0042,STORE_07,0.046
SKU_0042,STORE_15,0.066
SKU_0042,STORE_08,0.053
SKU_0042,STORE_09,0.098
SKU_0042,STORE_16,0.043
SKU_0042,STORE_10,0.049
SKU_0042,STORE_11,0.056
SKU_0042,STORE_12,0.033
SKU_0042,STORE_13,0.068
SKU_0042,STORE_17,0.034
SKU_0042,STORE_14,0.049
SKU_0043,STORE_01,0.031
SKU_0043,STORE_02,0.023
SKU_0043,STORE_03,0.022
SKU_0043,STORE_04,0.019
SKU_0043,STORE_05,0.03
SKU_0043,STORE_06,0.023
SKU_0043,STORE_07,0.021
SKU_0043,STORE_15,0.03
SKU_0043,STORE_08,0.024
SKU_0043,STORE_09,0.045
SKU_0043,STORE_16,0.019
SKU_0043,STORE_10,0.023
SKU_0043,STORE_11,0.026
SKU_0043,STORE_12,0.031
SKU_0043,STORE_13,0.031
SKU_0043,STORE_17,0.032
SKU_0043,STORE_14,0.046
SKU_0044,STORE_01,0.078
SKU_0044,STORE_02,0.058
SKU_0044,STORE_03,0.055
SKU_0044,STORE_04,0.048
SKU_0044,STORE_05,0.074
SKU_0044,STORE_06,0.083
SKU_0044,STORE_07,0.053
SKU_0044,STORE_15,0.075
SKU_0044,STORE_08,0.061
SKU_0044,STORE_09,0.113
SKU_0044,STORE_16,0.049
SKU_0044,STORE_10,0.057
SKU_0044,STORE_11,0.065
SKU_0044,STORE_12,0.066
SKU_0044,STORE_13,0.078
SKU_0044,STORE_17,0.068
SKU_0044,STORE_14,0.098
SKU_0045,STORE_01,0.316
SKU_0045,STORE_02,0.234
SKU_0045,STORE_03,0.21
SKU_0045,STORE_04,0.29
SKU_0045,STORE_05,0.223
SKU_0045,STORE_06,0.347
SKU_0045,STORE_07,0.228
SKU_0045,STORE_15,0.157
SKU_0045,STORE_08,0.216
SKU_0045,STORE_09,0.35
SKU_0045,STORE_16,0.191
SKU_0045,STORE_10,0.214
SKU_0045,STORE_11,0.304
SKU_0045,STORE_12,0.237
SKU_0045,STORE_13,0.276
SKU_0045,STORE_17,0.235
SKU_0045,STORE_14,0.279
SKU_0046,STORE_01,0.227
SKU_0046,STORE_02,0.18
SKU_0046,STORE_03,0.142
SKU_0046,STORE_04,0.208
SKU_0046,STORE_05,0.171
SKU_0046,STORE_06,0.249
SKU_0046,STORE_07,0.175
SKU_0046,STORE_15,0.157
SKU_0046,STORE_08,0.147
SKU_0046,STORE_09,0.241
SKU_0046,STORE_16,0.13
SKU_0046,STORE_10,0.145
SKU_0046,STORE_11,0.095
SKU_0046,STORE_12,0.161
SKU_0046,STORE_13,0.19
SKU_0046,STORE_17,0.159
SKU_0046,STORE_14,0.214
SKU_0047,STORE_01,0.124
SKU_0047,STORE_02,0.19
SKU_0047,STORE_03,0.139
SKU_0047,STORE_04,0.114
SKU_0047,STORE_05,0.18
SKU_0047,STORE_06,0.137
SKU_0047,STORE_07,0.185
SKU_0047,STORE_15,0.47
SKU_0047,STORE_08,0.144
SKU_0047,STORE_09,0.268
SKU_0047,STORE_16,0.127
SKU_0047,STORE_10,0.142
SKU_0047,STORE_11,0.139
SKU_0047,STORE_12,0.157
SKU_0047,STORE_13,0.212
SKU_0047,STORE_17,0.156
SKU_0047,STORE_14,0.226
SKU_0048,STORE_01,0.068
SKU_0048,STORE_02,0.14
SKU_0048,STORE_03,0.064
SKU_0048,STORE_04,0.062
SKU_0048,STORE_05,0.133
SKU_0048,STORE_06,0.074
SKU_0048,STORE_07,0.136
SKU_0048,STORE_15,0.052
SKU_0048,STORE_08,0.066
SKU_0048,STORE_09,0.135
SKU_0048,STORE_16,0.059
SKU_0048,STORE_10,0.066
SKU_0048,STORE_11,0.048
SKU_0048,STORE_12,0.073
SKU_0048,STORE_13,0.107
SKU_0048,STORE_17,0.072
SKU_0048,STORE_14,0.166
SKU_0049,STORE_01,0.031
SKU_0049,STORE_02,0.022
SKU_0049,STORE_03,0.027
SKU_0049,STORE_04,0.028
SKU_0049,STORE_05,0.021
SKU_0049,STORE_06,0.034
SKU_0049,STORE_07,0.021
SKU_0049,STORE_15,0.032
SKU_0049,STORE_08,0.028
SKU_0049,STORE_09,0.083
SKU_0049,STORE_16,0.024
SKU_0049,STORE_10,0.027
SKU_0049,STORE_11,0.033
SKU_0049,STORE_12,0.03
SKU_0049,STORE_13,0.065
SKU_0049,STORE_17,0.03
SKU_0049,STORE_14,0.026
SKU_0050,STORE_01,0.092
SKU_0050,STORE_02,0.122
SKU_0050,STORE_03,0.116
SKU_0050,STORE_04,0.085
SKU_0050,STORE_05,0.116
SKU_0050,STORE_06,0.101
SKU_0050,STORE_07,0.119
SKU_0050,STORE_15,0.157
SKU_0050,STORE_08,0.12
SKU_0050,STORE_09,0.242
SKU_0050,STORE_16,0.106
SKU_0050,STORE_10,0.118
SKU_0050,STORE_11,0.117
SKU_0050,STORE_12,0.131
SKU_0050,STORE_13,0.191
SKU_0050,STORE_17,0.13
SKU_0050,STORE_14,0.145
SKU_0051,STORE_01,0.224
